Name,Enabled
Changes to PIM Settings,True
Known POLONIUM IP,True
Cross-tenant Access Settings Organization Inbound Direct Settings Changed,True
Privileged User Logon from new ASN,True
Cross-tenant Access Settings Organization Outbound Direct Settings Changed,True
Bulk Changes to Privileged Account Permissions,True
Guest accounts changed user type from guest to members in AzureAD,True
Azure Active Directory PowerShell accessing non-AAD resources,True
Changes to Application Logout URL,True
Attempt to bypass conditional access rule in Azure AD - Interactive Sign-Ins,True
Correlate Unfamiliar sign-in properties and atypical travel alerts,True
Suspicious application consent for offline access,True
Service Principal Authentication Attempt from New Country,True
New External User Granted Admin,True
Failed login attempts to Azure Portal,True
Anomolous Single Factor Signin,True
Application Redirect URL Update,True
Suspicious Service Principal creation activity,True
Detect PIM Alert Disabling activity,True
URL Added to Application from Unknown Domain,True
Brute force attack against Azure Portal,True
Known Barium IP,True
MFA disabled for a user,True
Modified domain federation trust settings,True
PIM Elevation Request Rejected,True
Password spray attack against Azure AD application,True
New access credential added to Application or Service Principal,True
Changes to Application Ownership,True
Authentication Attempt from New Country,True
Malformed user agent,True
Account created from non-approved sources,True
Create incidents based on Azure Active Directory Identity Protection alerts,True
Multiple admin membership removals from newly created admin.,True
User Added to Admin Role,True
Account Created and Deleted in Short Timeframe,True
Credential added after admin consented to Application,True
First access credential added to Application or Service Principal where no credential was present,True
Password spray attack against ADFSSignInLogs,True
Account created or deleted by non-approved user,True
Service Principal Assigned App Role With Sensitive Access,True
Cross-tenant Access Settings Organization Deleted,True
Creation of expensive computes in Azure,True
Azure VM Run Command operation executed during suspicious login window,True
Azure Active Directory Hybrid Health AD FS Service Delete,True
Azure Diagnostic settings removed from a resource,True
Azure Active Directory Hybrid Health AD FS Suspicious Application,True
Suspicious Resource deployment,True
Mass Cloud resource deletions Time Series Anomaly,True
New CloudShell User,True
Azure VM Run Command operations executing a unique PowerShell script,True
Rare subscription-level operations in Azure,True
Azure Active Directory Hybrid Health AD FS New Server,True
Suspicious granting of permissions to an account,True
Suspicious number of resource creation or deployment activities,True
Known ZINC Comebacker and Klackring malware hashes,True
Excessive NXDOMAIN DNS Queries (ASIM DNS Schema),True
Potential DGA detected (ASIM DNS Schema),True
Solorigate Network Beacon,True
Known Phosphorus group domains/IP,True
DNS events related to mining pools (ASIM DNS Schema),True
Known GALLIUM domains and hashes,True
Known NICKEL domains and hashes,True
DNS events related to ToR proxies  (ASIM DNS Schema),True
"NOBELIUM - Domain, Hash and IP IOCs - May 2021",True
THALLIUM domains included in DCU takedown,True
DEV-0322 Serv-U related IOCs - July 2021,True
Several deny actions registered,True
"Mercury - Domain, Hash and IP IOCs - August 2022",True
Europium - Hash and IP IOCs - September 2022,True
Known CERIUM domains and hashes,True
"Chia_Crypto_Mining - Domain, Process, Hash and IP IOCs - June 2021",True
ACTINIUM Actor IOCs - Feb 2022,True
SEABORGIUM C2 Domains August 2022,True
Known Barium domains,True
Known STRONTIUM group domains - July 2019,True
Known PHOSPHORUS group domains/IP - October 2020,True
NOBELIUM - Domain and IP IOCs - March 2021,True
Mass secret retrieval from Azure Key Vault,True
Azure Key Vault access TimeSeries anomaly,True
Sensitive Azure Key Vault operations,True
Determine users with cluster admin role,True
Check critical ports opened to the entire internet,True
Azure WAF Log4j CVE-2021-44228 hunting,True
Azure WAF matching for Log4j vuln(CVE-2021-44228),True
Front Door Premium WAF - XSS Detection,True
Front Door Premium WAF - SQLi Detection,True
Mass Export of Dynamics 365 Records to Excel,True
D365 - Permissions granted to an application identity,True
D365 - Audit log data deletion,True
D365 - Monitored User configuration changed,True
D365 - New user agent detected,True
D365 - Dormant admin or previously non-admin user conducting admin activity,True
D365 - Login from IP in the block list,True
D365 - Login by a sensitive privileged user,True
D365 - User bulk retrieval outside normal activity,True
D365 - New Office user agent detected,True
D365 - Mass deletion of records,True
D365 - Encryption settings changed,True
D365 - Audit log configuration change,True
D365 - Monitored Security configuration changed,True
D365 - Sign-in from an unauthorized domain,True
D365 - Mass export of records to Excel,True
Create incidents based on Microsoft Defender for Cloud,True
Create incidents based on Microsoft Defender for Endpoint alerts,True
Create incidents based on Microsoft Cloud App Security alerts,True
Create incidents based on Microsoft Defender for Office 365 alerts,True
Create incidents based on Microsoft Defender for IOT alerts,True
(Private Preview) Create incidents based on Microsoft 365 Insider Risk Management,True
Port scan detected  (ASIM Network Session schema),True
SSH - Potential Brute Force,True
Squid proxy events for ToR proxies,True
Failed logon attempts in authpriv,True
Squid proxy events related to mining pools,True
Fake computer account created,True
Registry Persistence via AppCert DLL Modification,True
Potential Remote Desktop Tunneling,True
Registry Persistence via AppInit DLLs Modification,True
Possible Resource-Based Constrained Delegation Abuse,True
KNOTWEED AV Detection,True
Exchange Server Vulnerabilities Disclosed March 2021 IoC Match,True
Detecting Macro Invoking ShellBrowserWindow COM Objects,True
Prestige ransomware IOCs Oct 2022,True
DEV-0270 New User Creation,True
Hive Ransomware IOC - July 2022,True
Dev-0270 WMIC  Discovery,True
Windows Binaries Executed from Non-Default Directory,True
Identify SysAid Server web shell creation,True
Lateral Movement via DCOM,True
KNOTWEED File Hashes July 2022,True
MSHTML vulnerability CVE-2021-40444 attack,True
AdminSDHolder Modifications,True
Dev-0270 Registry IOC - September 2022,True
Service Principal Name (SPN) Assigned to User Account,True
Known ZINC related maldoc hash,True
COM Registry Key Modified to Point to File in Color Profile Folder,True
AD FS Abnormal EKU object identifier attribute,True
Dumping LSASS Process Into a File,True
Unusual identity creation using exchange powershell,True
Potential beaconing activity (ASIM Network Session schema),True
Excessive number of failed connections from a single source (ASIM Network Session schema),True
COM Event System Loading New DLL,True
Modification of Accessibility Features,True
Audit policy manipulation using auditpol utility,True
DSRM Account Abuse,True
Tarrask malware IOC - April 2022,True
Credential Dumping Tools - Service Installation,True
Dev-0270 Malicious Powershell usage,True
Windows Binaries Lolbins Renamed,True
WDigest downgrade attack,True
Identify MERCURY powershell commands,True
Credential Dumping Tools - File Artifacts,True
6DG - Sentinel Health Status Failure,True
6DG - Detect When Syslog Agent Stops sending HeartBeat,True
6DG - Detect when SyslogSource stops sending logs,True
6DG - Unusual file deletion activity by a User,True
6DG - Detect when Syslog Connector Disconnect,True
6DG - Detect connectors with changes from success to fail state,True
6DG - Detect connectors with changes from fail to success state,True
6DG - Detect latest failure events per connector,True
Missing Domain Controller Heartbeat,True
Rare and potentially high-risk Office operations,True
External user added and removed in short timeframe,True
New executable via Office FileUploaded Operation,True
Exchange workflow MailItemsAccessed operation anomaly,True
Exchange AuditLog disabled,True
Malicious Inbox Rule,True
SharePointFileOperation via devices with previously unseen user agents,True
DEV-0322 Serv-U related IOCs - July 2021,True
Known Manganese IP and UserAgent activity,True
Possible STRONTIUM attempted credential harvesting - Oct 2020,True
Office policy tampering,True
Mail redirect via ExO transport rule,True
Multiple Teams deleted by a single user,True
New UserAgent observed in last 24 hours,True
SharePointFileOperation via previously unseen IPs,True
Possible STRONTIUM attempted credential harvesting - Sept 2020,True
Multiple users email forwarded to same destination,True
Accessed files shared by temporary external user,True
New Office User Agent in Dynamics 365,True
New Dynamics 365 Admin Activity,True
New Dynamics 365 User Agent,True
Dynamics 365 - User Bulk Retrieval Outside Normal Activity,True
SSH - Potential Brute Force,True
SSH - Potential Brute Force,True
Failed AzureAD logons but success logon to host,True
Failed host logons but success logon to AzureAD,True
Failed logon attempts in authpriv,True
SSH - Potential Brute Force,True
Squid proxy events related to mining pools,True
Failed logon attempts in authpriv,True
SSH - Potential Brute Force,True
Failed AzureAD logons but success logon to host,True
Squid proxy events for ToR proxies,True
Failed logon attempts in authpriv,True
IP address of Windows host encoded in web request,True
Possible contact with a domain generated by a DGA,True
CreepyDrive request URL sequence,True
RunningRAT request parameters,True
Fortinet - Beacon pattern detected,True
Time series anomaly detection for total volume of traffic,True
CreepyDrive URLs,True
Windows host username encoded in base64 web request,True
6DG - Possible Sentinel Data Ingestion Issue,True
Azure DevOps PAT used with Browser.,True
Azure DevOps Build Variable Modified by New User.,True
Azure DevOps Retention Reduced,True
"New PA, PCA, or PCAS added to Azure DevOps",True
Azure DevOps Service Connection Addition/Abuse - Historic allow list,True
Azure DevOps Variable Secret Not Secured,True
Azure DevOps Service Connection Abuse,True
Azure DevOps Pipeline modified by a new user.,True
External Upstream Source Added to Azure DevOps Feed,True
Azure DevOps Pull Request Policy Bypassing - Historic allow list,True
Azure DevOps New Extension Added,True
Azure DevOps Administrator Group Monitoring,True
Azure DevOps Pipeline Created and Deleted on the Same Day,True
Okta - User Login from Different Countries within 3 Hours,True
Failed Logins from Unknown or Invalid User,True
Potential Password Spray Attack,True
6DG - Reputation block outbound request: malicious URL,True
Attempt to bypass conditional access rule in Azure AD - Non-Interactives,True
6DG - Smoke Test,True
User added to Azure Active Directory Privileged Groups (2024415 14759),True
6DG - Possible Sentinel Table Flatline,True
Port Sweep,True
Abnormal Port to Protocol,True
Multiple Sources Affected by the Same TI Destination,True
Abnormal Deny Rate for Source IP,True
Port Scan,True
High Risk User account added to built in High Risk domain local or global group,True
Create incidents based on Microsoft Defender for Identity alerts (202526 131755),True
Explicit MFA Deny from AD joined Device,True
6DG Health SOC Access Restricted by CA Policy,True
Cloudflare - XSS probing pattern in request(Testing),True
Cloudflare - Empty user agent (Testing),True
Cloudflare - Unexpected client request(Testing),True
Cloudflare - Client request from country in blocklist,True
TI Map IP Entity to SigninLogs,True
TI map Email entity to SecurityEvent,True
TI map File Hash to Security Event,True
Cloudflare - Client request from outside the uk and ireland,True
Firewall IPS/IDS Detections,True
Azure Machine Learning Write Operations,True
